model,n_mr,n_direct,mr_syc_rate,direct_syc_rate,delta_syc,mean_adv_leakage,mean_ctx_leakage,mean_id_leakage,mean_total_leakage,pct_any_adv
deepseek,500,500,0.696,0.654,0.041999999999999926,0.772,0.266,0.226,1.264,0.58
gemini3pro,500,500,0.81,0.94,-0.1299999999999999,0.17,0.078,0.1,0.348,0.146
gpt52,500,500,0.542,0.574,-0.03199999999999992,0.284,0.06,0.024,0.368,0.26
llama4,500,500,0.702,0.89,-0.18800000000000006,0.374,0.132,0.108,0.614,0.258
mistral,500,500,0.666,0.678,-0.01200000000000001,0.374,0.08,0.066,0.52,0.298
opus,500,500,0.678,0.51,0.16800000000000004,0.674,0.412,0.34,1.426,0.504
